WARNING: processor.v:8: $readmemb(sample2.bnr): Not enough words in the file for the requested range [0:255].
VCD info: dumpfile dumpfile.vcd opened for output.
                   0 rstd = 0, clk = 0, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  10 rstd = 0, clk = 1, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  20 rstd = 0, clk = 0, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  30 rstd = 0, clk = 1, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  40 rstd = 0, clk = 0, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  50 rstd = 0, clk = 1, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  60 rstd = 0, clk = 0, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  70 rstd = 0, clk = 1, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  80 rstd = 0, clk = 0, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                  90 rstd = 0, clk = 1, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                 100 rstd = 1, clk = 0, pc = 00000000, ins = 0000000a, wra = 0a, reg1 = 00000000, reg2 = 00000000
                 110 rstd = 1, clk = 1, pc = 00000001, ins = 04080001, wra = 01, reg1 = 00000000, reg2 = xxxxxxxx
                 120 rstd = 1, clk = 0, pc = 00000001, ins = 04080001, wra = 01, reg1 = 00000000, reg2 = xxxxxxxx
                 130 rstd = 1, clk = 1, pc = 00000002, ins = 00084800, wra = 00, reg1 = 00000000, reg2 = xxxxxxxx
                 140 rstd = 1, clk = 0, pc = 00000002, ins = 00084800, wra = 00, reg1 = 00000000, reg2 = xxxxxxxx
                 150 rstd = 1, clk = 1, pc = 00000003, ins = 05080001, wra = 01, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 160 rstd = 1, clk = 0, pc = 00000003, ins = 05080001, wra = 01, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 170 rstd = 1, clk = 1, pc = 00000004, ins = 01094800, wra = 00, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 180 rstd = 1, clk = 0, pc = 00000004, ins = 01094800, wra = 00, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 190 rstd = 1, clk = 1, pc = 00000005, ins = 05080001, wra = 01, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 200 rstd = 1, clk = 0, pc = 00000005, ins = 05080001, wra = 01, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 210 rstd = 1, clk = 1, pc = 00000006, ins = 01094800, wra = 00, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 220 rstd = 1, clk = 0, pc = 00000006, ins = 01094800, wra = 00, reg1 = xxxxxxxx, reg2 = xxxxxxxx
